,Tag_Id,dominant_topic,Id,Topics,Tags,Department
1418,1418,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
1419,1419,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
1420,1420,4,4,Great staff friendly place great clean helpful The staff staff friendly love The always friendly staff This place Very The staff friendly great place equipment friendly helpful amazing fun super Staff This atmosphere love place nice kids food well Love best facilities get knowledgeable climbing Phoenix Nice service shape,Sports Clubs,Active Life
1421,1421,2,2,yoga studio class classes Yoga instructors Bikram The practice great teachers studios instructor hot yoga studio really like feel hot yoga first also try wonderful The studio amazing students Metta different love Bikram Yoga room Urban poses They time new music yoga classes body offer,Yoga,Active Life
1422,1422,4,4,Great staff friendly place great clean helpful The staff staff friendly love The always friendly staff This place Very The staff friendly great place equipment friendly helpful amazing fun super Staff This atmosphere love place nice kids food well Love best facilities get knowledgeable climbing Phoenix Nice service shape,Sports Clubs,Active Life
1423,1423,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
1424,1424,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1425,1425,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1426,1426,1,1,course golf play The played courses greens holes hole tee golf course cart The course desert green good range shape par round playing nice fairways time great water area driving balls fun hit challenging well layout This ball one would better There,Golf,Active Life
1427,1427,4,4,Great staff friendly place great clean helpful The staff staff friendly love The always friendly staff This place Very The staff friendly great place equipment friendly helpful amazing fun super Staff This atmosphere love place nice kids food well Love best facilities get knowledgeable climbing Phoenix Nice service shape,Sports Clubs,Active Life
1428,1428,3,3,bike service would back shop said time get customer went got wanted know one asked bikes told first customer service day They business could membership place like going even make take really since called guy people want store way guys right,Sporting Goods,Active Life
1429,1429,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1430,1430,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
1431,1431,0,0,gym The equipment machines like Fitness work location room cardio one pool classes people locker get weights They This fitness workout membership gyms free good area nice really use always new clean member There machine also never want need working,Gyms,Active Life
